300	50	340	270	110	300	380	340	450	120
460	50	500	280	110	460	390	500	450	120
620	50	660	290	110	620	400	660	450	120
780	50	820	300	110	780	410	820	450	120
940	50	980	310	110	940	420	980	450	120
1100	50	1140	320	110	1100	430	1140	450	120
1260	50	1300	310	110	1260	420	1300	450	120
1420	50	1460	300	110	1420	410	1460	450	120
1580	50	1620	290	110	1580	400	1620	450	120
1740	50	1780	280	110	1740	390	1780	450	120
1900	50	1940	260	110	1900	370	1940	450	120
2060	50	2100	250	110	2060	360	2100	450	120
2220	50	2260	240	110	2220	350	2260	450	120
2380	50	2420	230	110	2380	340	2420	450	120
2540	50	2580	240	110	2540	350	2580	450	120
2700	50	2740	250	110	2700	360	2740	450	120
2860	50	2900	270	110	2860	380	2900	450	120
3020	50	3060	270	110	3020	380	3060	450	120
3180	50	3220	280	110	3180	390	3220	450	120
3340	50	3380	290	110	3340	400	3380	450	120
3500	50	3540	300	110	3500	410	3540	450	120
3660	50	3700	310	110	3660	420	3700	450	120
3820	50	3860	320	110	3820	430	3860	450	120
3980	50	4020	310	110	3980	420	4020	450	120
4140	50	4180	300	110	4140	410	4180	450	120
4300	50	4340	290	110	4300	400	4340	450	120
4460	50	4500	280	110	4460	390	4500	450	120
4620	50	4660	260	110	4620	370	4660	450	120
4780	50	4820	250	110	4780	360	4820	450	120
4940	50	4980	240	110	4940	350	4980	450	120
5100	50	5140	230	110	5100	340	5140	450	120
5260	50	5300	240	110	5260	350	5300	450	120
5420	50	5460	250	110	5420	360	5460	450	120
5580	50	5620	270	110	5580	380	5620	450	120
5740	50	5780	250	110	5740	360	5780	450	120
5900	50	5940	240	110	5900	350	5940	450	120
6060	50	6100	230	110	6060	340	6100	450	120
6220	50	6260	220	110	6220	330	6260	450	120
6380	50	6420	220	110	6380	330	6420	450	120
6540	50	6580	210	110	6540	320	6580	450	120
6700	50	6740	210	110	6700	320	6740	450	120
6860	50	6900	200	110	6860	310	6900	450	120
7020	50	7060	210	110	7020	320	7060	450	120
7180	50	7220	220	110	7180	330	7220	450	120
7340	50	7380	230	110	7340	340	7380	450	120
7500	50	7540	240	110	7500	350	7540	450	120
7660	50	7700	230	110	7660	340	7700	450	120
7820	50	7860	250	110	7820	360	7860	450	120
7980	50	8020	260	110	7980	370	8020	450	120
8140	50	8180	270	110	8140	380	8180	450	120
8800	50	8740	270	80	8800	350	8740	450	120
