300	50	340	110	110	300	220	340	450	120
460	50	500	170	110	460	280	500	450	120
620	50	660	230	110	620	340	660	450	120
780	50	820	290	110	780	400	820	450	120
940	50	980	340	110	940	450	980	450	120
1100	50	1140	290	110	1100	400	1140	450	120
1260	50	1300	230	110	1260	340	1300	450	120
1420	50	1460	170	110	1420	280	1460	450	120
1580	50	1620	110	110	1580	220	1620	450	120
1740	50	1780	100	110	1740	210	1780	450	120
1900	50	1940	150	110	1900	260	1940	450	120
2060	50	2100	210	110	2060	320	2100	450	120
2220	50	2260	270	110	2220	380	2260	450	120
2380	50	2420	330	110	2380	440	2420	450	120
2540	50	2580	390	110	2540	500	2580	450	120
2700	50	2740	330	110	2700	440	2740	450	120
2860	50	2900	300	110	2860	410	2900	450	120
3020	50	3060	250	110	3020	360	3060	450	120
3180	50	3220	310	110	3180	420	3220	450	120
3340	50	3380	370	110	3340	480	3380	450	120
3500	50	3540	310	110	3500	420	3540	450	120
3660	50	3700	250	110	3660	360	3700	450	120
3820	50	3860	190	110	3820	300	3860	450	120
3980	50	4020	230	110	3980	340	4020	450	120
4140	50	4180	170	110	4140	280	4180	450	120
4300	50	4340	230	110	4300	340	4340	450	120
4460	50	4500	170	110	4460	280	4500	450	120
4620	50	4660	110	110	4620	220	4660	450	120
4780	50	4820	110	110	4780	220	4820	450	120
4940	50	4980	110	110	4940	220	4980	450	120
5100	50	5140	170	110	5100	280	5140	450	120
5260	50	5300	150	110	5260	260	5300	450	120
5420	50	5460	210	110	5420	320	5460	450	120
5580	50	5620	240	110	5580	350	5620	450	120
5740	50	5780	280	110	5740	390	5780	450	120
5900	50	5940	340	110	5900	450	5940	450	120
6060	50	6100	300	110	6060	410	6100	450	120
6220	50	6260	240	110	6220	350	6260	450	120
6380	50	6420	210	110	6380	320	6420	450	120
6540	50	6580	150	110	6540	260	6580	450	120
6700	50	6740	240	110	6700	350	6740	450	120
6860	50	6900	220	110	6860	330	6900	450	120
7020	50	7060	210	110	7020	320	7060	450	120
7180	50	7220	180	110	7180	290	7220	450	120
7340	50	7380	170	110	7340	280	7380	450	120
7500	50	7540	200	110	7500	310	7540	450	120
7660	50	7700	240	110	7660	350	7700	450	120
7820	50	7860	300	110	7820	410	7860	450	120
7980	50	8020	340	110	7980	450	8020	450	120
8140	50	8180	350	110	8140	460	8180	450	120
8800	50	8740	270	80	8800	350	8740	450	120
